province,year,transport_value_added_100m_cny,total_generation_100m_kwh,hydro_generation_100m_kwh,thermal_generation_100m_kwh,clean_generation_100m_kwh,hydro_share,clean_power_ratio,nev_stock_10k,gasoline_consumption_10k_ton,diesel_consumption_10k_ton,fuel_total_10k_ton,diesel_share_in_fuel,fuel_intensity_per_100m_cny,public_charging_piles,national_bev_buses
云南省,2019,1055.8,3465.63,2855.85,316.31,3149.32,0.8240493070523973,0.9087294373605952,,230.32,517.69,748.01,0.692089677945482,0.7084769842773253,,324464.0
云南省,2020,967.0,3674.44,2959.99,414.58,3259.86,0.8055622081187881,0.8871719227963989,,230.2,515.76,745.96,0.6914043648453,0.771416752843847,,
云南省,2021,1104.2,3770.23,3028.16,455.46,3314.77,0.8031764640353506,0.8791956989361391,,261.17,513.84,775.01,0.663010799860647,0.7018746603876109,,419500.0
云南省,2022,1149.7,4016.65,3282.91,464.53,3552.12,0.8173253830928758,0.8843488977132685,21.311437514039685,244.4,498.15,742.55,0.6708639148878863,0.6458641384709054,,455500.0
云南省,2023,1319.0,4151.01,3078.76,646.82,3504.19,0.7416893719841677,0.8441776820581015,35.00517241198108,,,,,,50000.0,473900.0
内蒙古自治区,2012,825.4,3116.9,17.45,2793.3,323.5999999999999,0.0055985113413969,0.1038211043023516,,162.5160092344453,568.4438796537409,730.9598888881861,0.777667678206478,0.8855826131429442,,
内蒙古自治区,2013,868.9,3567.14,19.74,3167.64,399.5,0.0055338450411253,0.1119944829751565,,119.36,299.76,419.12,0.7152128268753578,0.4823570031073771,,
内蒙古自治区,2014,916.6,3857.81,34.62,3409.33,448.48,0.0089740033853403,0.1162524852182974,,127.24,255.49,382.73,0.6675463120215295,0.4175540039275583,,
内蒙古自治区,2015,943.0,3929.0,36.42,3421.92,507.0799999999999,0.0092695342326291,0.129060829727666,,155.32,188.15,343.47,0.5477916557486825,0.3642311770943797,,
内蒙古自治区,2016,983.4,3949.81,27.48,3374.88,574.9299999999998,0.0069572966800934,0.1455589003015334,,178.7149,148.67149999999998,327.3864,0.4541162980502549,0.3329127516778523,,
内蒙古自治区,2017,1081.8,4435.94,19.99,3750.33,685.6099999999997,0.0045063729446295,0.1545579967267365,,185.59,159.51,345.1,0.4622138510576644,0.319005361434646,,
内蒙古自治区,2018,1138.2,5002.96,36.49,4164.48,838.4800000000005,0.007293682140173,0.1675967827046389,,177.4,132.88,310.28,0.4282583472992136,0.272605868915832,,
内蒙古自治区,2019,1209.7,5495.08,58.07,4608.41,886.6700000000001,0.0105676350480793,0.1613570685049171,,185.03,138.59,323.62,0.4282491811383722,0.267520872943705,,324464.0
内蒙古自治区,2020,1157.8,5810.97,57.35,4841.2,969.7700000000004,0.0098692645117768,0.1668860792604333,,178.02,133.96,311.98,0.4293864991345599,0.2694593193988599,,
内蒙古自治区,2021,1291.6,6119.93,49.02,4891.8,1228.13,0.0080098955380208,0.2006771319279795,,212.85,182.51,395.36,0.4616299069202751,0.3061009600495509,,419500.0
内蒙古自治区,2022,1358.3,6619.21,42.71,5254.82,1364.3900000000003,0.0064524316345908,0.2061258065539543,6.659824223137402,184.13,193.81,377.94,0.5128062655447955,0.2782448649046602,8200.0,455500.0
内蒙古自治区,2023,1538.3,7629.94,44.74,5940.06,1689.8799999999992,0.0058637420477749,0.221480116488465,14.361096374146085,,,,,,11800.0,473900.0
北京市,2012,640.1,290.8,4.21,283.19,7.610000000000014,0.0144773039889958,0.0261691884456671,,44.031472,117.3376,161.369072,0.7271380974416213,0.2520997844086861,,
