source_id,variable,source_level,source_name,source_url,cross_check_url,publish_date,access_date,evidence_file,is_primary,note
SRC_CASE02_NBS_01,gdp_100m_cny,A,国家统计局-国家数据(地区生产总值),https://data.stats.gov.cn/easyquery.htm?cn=E0103,,,2026-03-25,nbs_gdp_100m_cny.csv,1,指标代码=A020101; 单位=亿元
SRC_CASE02_NBS_02,tertiary_value_added_100m_cny,A,国家统计局-国家数据(第三产业增加值),https://data.stats.gov.cn/easyquery.htm?cn=E0103,,,2026-03-25,nbs_tertiary_value_added_100m_cny.csv,1,指标代码=A020104; 单位=亿元
SRC_CASE02_NBS_03,resident_population_10k_person,A,国家统计局-国家数据(年末常住人口),https://data.stats.gov.cn/easyquery.htm?cn=E0103,,,2026-03-25,nbs_resident_population_10k_person.csv,1,指标代码=A030101; 单位=万人
SRC_CASE02_NBS_04,urban_population_10k_person,A,国家统计局-国家数据(城镇人口),https://data.stats.gov.cn/easyquery.htm?cn=E0103,,,2026-03-25,nbs_urban_population_10k_person.csv,1,指标代码=A030102; 单位=万人
SRC_CASE02_NBS_05,passenger_turnover_100m_pkm,A,国家统计局-国家数据(旅客周转量),https://data.stats.gov.cn/easyquery.htm?cn=E0103,,,2026-03-25,nbs_passenger_turnover_100m_pkm.csv,1,指标代码=A0G0401; 单位=亿人公里
SRC_CASE02_NBS_06,freight_turnover_100m_tkm,A,国家统计局-国家数据(货物周转量),https://data.stats.gov.cn/easyquery.htm?cn=E0103,,,2026-03-25,nbs_freight_turnover_100m_tkm.csv,1,指标代码=A0G0601; 单位=亿吨公里
SRC_CASE02_NBS_07,road_mileage_10k_km,A,国家统计局-国家数据(公路里程),https://data.stats.gov.cn/easyquery.htm?cn=E0103,,,2026-03-25,nbs_road_mileage_10k_km.csv,1,指标代码=A0G0203; 单位=万公里
SRC_CASE02_NEV_01,nev_stock_10k,B,本地NEV保有量数据（math/data_collector）,local-cache://math/data_collector/output/nev_stock_30prov_2012_2023.csv,,,2026-03-25,math\data_collector\output\nev_stock_30prov_2012_2023.csv,0,由历史采集流程生成，作为NEV变量输入
SRC_CASE02_CO2_EST_01,transport_co2_est_10k_ton,B,基于case01油耗数据的交通碳排放估算,local-cache://math/merged_output/all_priorities_merged_panel_30prov_2012_2023.csv,,,2026-03-25,math\merged_output\all_priorities_merged_panel_30prov_2012_2023.csv,0,"估算公式: 汽油*2.925 + 柴油*3.096 (tCO2/t燃料), 输出单位=万吨CO2；原值缺失时优先使用*_filled；系数说明参见 IPCC 2006 Guidelines Vol.2, Table 3.2.1（论文中需明确口径）"
