province,year,resident_population_10k_person,source_id,source_level,source_name,source_url,publish_date,access_date,evidence,note
天津市,2021,1373.0,SRC_CASE03_NBS_POP_01,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,2026-03-27,指标代码=A030101; 单位=万人; 年份=2021,当前环境NBS在线接口不可达，使用本地缓存回填
天津市,2022,1363.0,SRC_CASE03_NBS_POP_01,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,2026-03-27,指标代码=A030101; 单位=万人; 年份=2022,当前环境NBS在线接口不可达，使用本地缓存回填
天津市,2023,1364.0,SRC_CASE03_NBS_POP_01,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,2026-03-27,指标代码=A030101; 单位=万人; 年份=2023,当前环境NBS在线接口不可达，使用本地缓存回填
天津市,2024,1364,SRC_CASE03_POP2024_R3_TJ,A,天津市人民政府-2024年天津市国民经济和社会发展统计公报,https://www.tj.gov.cn/sq/tjgb/202503/t20250324_6890361.html,,2026-03-27,赛。全民健身设施建设不断完善，新建提升户外微场地等设施730处，新建室外智能健身房16处，建成体育公园14处，扩建海河蓝丝带骑行道7公里。举办全民健身赛事活动近7000场，超60万人参与。 十三、人口、就业和人民生活 城镇化水平持续提升。 年末全市常住人口总量1364万人，其中城镇常住人口1173万人，乡村常住人口191万人。城镇化率为86.01%，比上年末提高0.52个百分点。常住人口出生率为4.99‰，死亡率为6.96‰，自然增长率为-1.97‰。 就业形势总体稳定。 贯彻落实各类稳就业政策措施，鼓励企业稳定扩大就业岗位，支持各类群体创业带动就业。出台促进2024届高校毕业生就业创业30条措施，全力稳定高校毕业生、农民工、就业困难人员等重点群体就业。全市城镇新增就业3,Round3严格补采; 2024统计公报正文口径。
河北省,2015,7345.0,SRC_CASE03_NBS_POP_01,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,2026-03-27,指标代码=A030101; 单位=万人; 年份=2015,当前环境NBS在线接口不可达，使用本地缓存回填
河北省,2016,7375.0,SRC_CASE03_NBS_POP_01,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,2026-03-27,指标代码=A030101; 单位=万人; 年份=2016,当前环境NBS在线接口不可达，使用本地缓存回填
河北省,2017,7409.0,SRC_CASE03_NBS_POP_01,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,2026-03-27,指标代码=A030101; 单位=万人; 年份=2017,当前环境NBS在线接口不可达，使用本地缓存回填
河北省,2018,7426.0,SRC_CASE03_NBS_POP_01,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,2026-03-27,指标代码=A030101; 单位=万人; 年份=2018,当前环境NBS在线接口不可达，使用本地缓存回填
河北省,2019,7447.0,SRC_CASE03_NBS_POP_01,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,2026-03-27,指标代码=A030101; 单位=万人; 年份=2019,当前环境NBS在线接口不可达，使用本地缓存回填
河北省,2020,7464.0,SRC_CASE03_NBS_POP_01,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,2026-03-27,指标代码=A030101; 单位=万人; 年份=2020,当前环境NBS在线接口不可达，使用本地缓存回填
河北省,2021,7448.0,SRC_CASE03_NBS_POP_01,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,2026-03-27,指标代码=A030101; 单位=万人; 年份=2021,当前环境NBS在线接口不可达，使用本地缓存回填
河北省,2022,7420.0,SRC_CASE03_NBS_POP_01,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,2026-03-27,指标代码=A030101; 单位=万人; 年份=2022,当前环境NBS在线接口不可达，使用本地缓存回填
河北省,2023,7393.0,SRC_CASE03_NBS_POP_01,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,2026-03-27,指标代码=A030101; 单位=万人; 年份=2023,当前环境NBS在线接口不可达，使用本地缓存回填
河北省,2024,7378,SRC_CASE03_POP2024_SHORT_02,A,tjj.hebei.gov.cn（2024人口发布）,http://tjj.hebei.gov.cn/hbstjj/sj/fbh/101758793797686.html,,2026-03-27,2024年末，全省常住人口7378万人，从净流出转变为净流入2万人，一大批创业者、奋斗者扎根河北。,短名单自动回填（待人工二审）
山西省,2015,3519.0,SRC_CASE03_NBS_POP_01,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,2026-03-27,指标代码=A030101; 单位=万人; 年份=2015,当前环境NBS在线接口不可达，使用本地缓存回填
山西省,2016,3514.0,SRC_CASE03_NBS_POP_01,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,2026-03-27,指标代码=A030101; 单位=万人; 年份=2016,当前环境NBS在线接口不可达，使用本地缓存回填
山西省,2017,3510.0,SRC_CASE03_NBS_POP_01,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,2026-03-27,指标代码=A030101; 单位=万人; 年份=2017,当前环境NBS在线接口不可达，使用本地缓存回填
山西省,2018,3502.0,SRC_CASE03_NBS_POP_01,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,2026-03-27,指标代码=A030101; 单位=万人; 年份=2018,当前环境NBS在线接口不可达，使用本地缓存回填
山西省,2019,3497.0,SRC_CASE03_NBS_POP_01,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,2026-03-27,指标代码=A030101; 单位=万人; 年份=2019,当前环境NBS在线接口不可达，使用本地缓存回填
